id,category_id,minihongo,english,japanese,explanation_minihongo,explanation_english,explanation_japanese,sort_order,core
gram-4,cat-17,は (wa),Topic Marker,は（主題）,「これの事【こと】は...」と所【ところ】を作【つく】る。言【こと】葉【ば】の入【い】れる所【ところ】の一【ひと】つ目【め】。何【なに】の事【こと】かを見【み】せる。,"Sets the stage: ""As for X..."" Fills the [who] slot in the sentence frame. Tells the listener what this sentence is about.",場を設定する:「〜については...」。文の枠の[誰]の位置を埋める。この文が何についてかを示す。,11,yes
gram-5,cat-17,が (ga),Subject Marker,が（主格）,する人【ひと】。誰【だれ】がそれをするか。新【あたら】しい事【こと】。,Subject. Who does it. New information.,動作の主体を示す。誰がそれをするか。新しい情報を表す。,12,yes
gram-6,cat-17,を (o),Object Marker,を（対格）,何【なに】にする事【こと】をするか。[何【なに】]の入【い】れる所【ところ】。,"Fills the [what] slot. What the action is done to.",文の枠の[何]の位置を埋める。動作の対象を示す。,13,yes
gram-7,cat-17,に (ni),"Direction, Time, Location",に（方向・時・場所）,どこに行【い】く。いつ。どこにいる。[いつ]と[どこ]の入【い】れる所【ところ】。,"Fills the [when] and [where] slots. Destination (go to), time (at 3), location of existence (is at).",文の枠の[いつ]と[どこ]の位置を埋める。行き先・時間・存在の場所を表す。,14,yes
gram-8,cat-17,で (de),"Location of Action, Means",で（場所・手段）,どこでする。何【なに】を使【つか】ってする。に は物【もの】がいるところ、で はする事【こと】のところ。,"Where things happen, what tools you use. Compare に: に = where things exist, で = where things happen.",動作の場所・手段を表す。「に」は存在の場所、「で」は動作の場所。,15,yes
gram-9,cat-17,の (no),Possessive / Connector,の（連体）,物【もの】と物【もの】を一【ひと】つにする。する事【こと】を物【もの】にもする (五【ご】を見【み】る)。,Connects nouns. Also turns verbs into nouns (see section 5).,名詞と名詞をつなぐ。動詞を名詞化する用法もある（第5章参照）。,16,
gram-10,cat-17,と (to),"And, With, Quotation",と（並列・引用）,「と」で一【ひと】つにする。言【い】った事【こと】を書【か】く。言【い】う事【こと】、思【おも】う事【こと】、音【おと】、名前【なまえ】。,"And, with, quotation. Quotes anything: speech, thoughts, sounds, names.",並列・共同・引用を表す。発言・思考・音・名前など、あらゆるものを引用できる。,17,
gram-11,cat-17,も (mo),Also,も（添加）,「も」で一【ひと】つ。は、が、を のの所【ところ】に使【つか】う。,"Also. Replaces は, が, or を.",「〜も」で同様であることを示す。は・が・を の代わりに使う。,18,
gram-12,cat-17,から / まで,From / Until,から / まで,始【はじ】まるところ (から)、終【お】わるところ (まで)。から はなぜかも言【い】える。,"Start points (from), end points (until). から also gives reasons (because).",起点（から）と終点（まで）を表す。「から」は理由も表せる。,19,
gram-13,cat-17,より,Comparison,より（比較）,Xより = 「Xよりもっと」。この一【ひと】つの言【こと】葉【ば】で全部【ぜんぶ】。,"Xより = ""more than X."" One particle, all comparisons.",「Xより」で「Xよりも」の意味。この助詞一つであらゆる比較を表せる。,20,
gram-17,cat-19,い の言【こと】葉【ば】,I-adjectives,い形容詞,する事【こと】と一【ひと】つ。寒【さむ】い だけで言【こと】葉【ば】が終【お】わる。変【か】える: くない、かった、くて。だ はいらない。,"ARE verbs. 寒い is a complete sentence. Conjugate: くない, かった, くて. No copula needed.",動詞と同様に活用する。「寒い」だけで文が成立する。活用: くない・かった・くて。「だ」は不要。,21,
gram-18,cat-19,な の言【こと】葉【ば】,Na-adjectives,な形容詞,物【もの】の前【まえ】に な を足【た】す。じゃない (違【ちが】う)、だった (前【まえ】)。,"Add な before nouns. じゃない (neg), だった (past).",名詞の前に「な」を付ける。否定は「じゃない」、過去は「だった」。,22,
gram-19,cat-19,〜くなる / 〜になる,Change of State,状態変化,変【か】わる事【こと】。全部【ぜんぶ】の変【か】わり方【かた】がこれ一【ひと】つ。,Change of state. One pattern for all changes.,状態の変化を表す。あらゆる変化をこの一つの型で表現できる。,23,
gram-20,cat-19,する事【こと】 + 物【もの】,Relative Clauses,連体修飾節,する事【こと】や言【こと】葉【ば】を物【もの】の前【まえ】に入【い】れて、それを見【み】せる。言【こと】葉【ば】作【づく】りの強【つよ】さ。,Put a verb or sentence before a noun to describe it. Engine of word-building.,動詞や文を名詞の前に置いて修飾する。語彙を作り出す力の源。,24,
gram-21,cat-20,の,Nominalizer (の),形式名詞「の」,いつもの方【かた】。食【た】べるのが好【す】き。聞【き】く時【とき】にも: 何【なに】しているの？,Casual. 食べるのが好き. Also in questions: 何しているの？,くだけた名詞化。「食べるのが好き」。疑問文にも使う:「何しているの？」,25,
gram-22,cat-20,こと,Nominalizer (こと),形式名詞「こと」,する事【こと】を考【かんが】えにする。目【め】で見【み】えない事【こと】。「動【うご】く事【こと】」は考【かんが】え。「飲【の】む物【もの】」は手【て】で持【も】てる。この違【ちが】いが必要【ひつよう】。,"Turns actions into abstract ideas. Invisible things. 走ること = the idea of running. Compare: 飲むもの = a drinkable thing (physical). こと = idea, もの = thing.",動作を抽象的な概念にする。「走ること」は走るという考え。「飲むもの」は物理的な物。「こと」は抽象、「もの」は具体。,26,
gram-23,cat-20,もの,Nominalizer (もの),形式名詞「もの」,手【て】で持【も】てるもの。本当【ほんとう】にある何【なに】か。「飲【の】むもの」= 飲【の】める何【なに】か。「こと」は考【かんが】え、「もの」は物【もの】。,"Physical things you can touch or point to. 飲むもの = something to drink. こと = abstract idea, もの = concrete thing.",触れたり指せたりする物理的なもの。「飲むもの」= 飲める何か。「こと」は抽象的な概念、「もの」は具体的な物。,27,
gram-30,cat-20,方【かた】,Way of Doing,方（やり方）,どうするかの方【かた】。する事【こと】の始【はじ】めに足【た】す。食【た】べ方【かた】= どう食【た】べるか。使【つか】い方【かた】= どう使【つか】うか。こと・もの・方【かた】の三【みっ】つで全部【ぜんぶ】言【い】える。,The way of doing. Attach to verb stem. 食べ方 = how to eat. 使い方 = how to use. こと (idea) + もの (thing) + 方 (method) = express everything.,やり方を表す。動詞の連用形に付ける。食べ方 = 食べる方法。使い方 = 使う方法。こと（概念）+ もの（物）+ 方（方法）で何でも表現できる。,28,
gram-24,cat-21,たい / 欲【ほ】しい,Want,願望表現,する事【こと】がしたい (する事【こと】の始【はじ】め + たい)。物【もの】が欲【ほ】しい (欲【ほ】しい)。,Want to do (verb stem + たい). Want a thing (欲しい).,動作の希望（動詞の連用形 + たい）。物の希望（欲しい）。,29,
gram-25,cat-21,たら / なら / ければ,Conditionals,条件表現,たら = もしそれが起【お】こったら (した + ら)。なら = もしそうなら。ければ = い の言【こと】葉【ば】の「もし」(い → ければ)。,"たら = when/if something happens (verb た + ら). なら = if it's the case (nouns, な-adj). ければ = if for い-adjectives (い → ければ).",たら = もしその事態が起こったら（動詞のた形 + ら）。なら = もしそうであるなら。ければ = い形容詞の条件形（い → ければ）。,30,
gram-26,cat-21,と思【おも】う / と言【い】う,Quotation,引用表現,と で何【なん】でも言【い】える。思【おも】う事【こと】、言【い】う事【こと】、音【おと】。という = 「その名前【なまえ】の」。,"Quote anything with と. Thoughts, speech, sounds. という = ""called.""",「と」で何でも引用できる。思考・発言・音。「という」は「〜と呼ばれる」の意味。,31,
gram-27,cat-21,ために,Purpose / Benefit,目的・利益,何【なに】のためにするか。する事【こと】+ために か 物【もの】+のために。,Purpose and beneficiary. Verb+ために or noun+のために.,目的と受益者を表す。動詞+ために、または名詞+のために。,32,
gram-32,cat-21,う / よう / ましょう,Volitional (Let's),意志・勧誘,二【ふた】りで何【なに】かをする事【こと】を言【い】う。行【い】こう = 一【ひと】つに行【い】く。食【た】べましょう = 一【ひと】つに食【た】べる。する事【こと】の始【はじ】め + ましょう。,"Suggest doing together. 行こう / 行きましょう = let's go. 食べよう / 食べましょう = let's eat. Verb stem + ましょう (polite).",一緒にすることを提案する。行こう / 行きましょう = 一緒に行く。食べよう / 食べましょう = 一緒に食べる。動詞の連用形 + ましょう（丁寧）。,33,
gram-33,cat-21,なくてはいけない / なきゃ,Must / Have to,義務表現,しなくてはいけない事【こと】。ない → なくてはいけない。話【はな】す時【とき】は なきゃ だけでいい。,"Obligation. Verb ない-form → なくてはいけない (must). In speech, なきゃ alone is enough. 行かなきゃ = I must go.",義務を表す。動詞のない形 → なくてはいけない（しなければならない）。話し言葉では「なきゃ」だけで十分。行かなきゃ = 行かなければならない。,34,
gram-34,cat-21,ほうがいい,Should / Better to,助言表現,した方【ほう】がいい = するのが良【よ】い。しない方【ほう】がいい = しないのが良【よ】い。,"Advice. V-た + ほうがいい = should do. V-ない + ほうがいい = should not do. 水を飲んだほうがいい = you should drink water.",助言を表す。動詞のた形 + ほうがいい = した方がよい。動詞のない形 + ほうがいい = しない方がよい。,35,
gram-28,cat-22,か / ね / よ,Sentence-ending Particles,終助詞,聞【き】く / そうでしょう？ / 強【つよ】く言【い】う。いつもの事【こと】では か を言【い】わない事【こと】も多【おお】い。,Question / right? / emphasis. か often dropped in casual - just rising tone.,疑問（か）/ 同意の確認（ね）/ 主張（よ）。くだけた会話では「か」を省略して語尾を上げるだけのことも多い。,36,
gram-29,cat-22,何【なに】・誰【だれ】・どこ・いつ・なぜ + も/でも,Question Words + Particles,疑問詞 + も/でも,聞【き】く言【こと】葉【ば】は言【い】う事【こと】のところに入【い】れる。+も (ない) = 何【なに】もない。+でも = 何【なん】でも。5つの言【こと】葉【ば】 + 2つのつなぎ = 20の言【こと】葉【ば】が作【つく】れる。,Question words go where the answer goes. +も (neg verb) = nothing/nobody. +でも = anything/anyone. 5 words + 2 particles = 20 pronouns free.,疑問詞は答えの位置に置く。+も（否定）= 何もない・誰もいない。+でも = 何でも・誰でも。疑問詞5つ + 助詞2つ = 20語の代名詞が作れる。,37,
gram-35,cat-81,つ (いくつ),Counting with つ,助数詞「つ」,物【もの】をいくつか言【い】う時【とき】に つ を使【つか】う。読【よ】み方【かた】が全部【ぜんぶ】変【か】わる: 1=一【ひと】つ 2=二【ふた】つ 3=三【みっ】つ 4=四【よっ】つ 5=五【いつ】つ 6=六【むっ】つ 7=七【なな】つ 8=八【やっ】つ 9=九【ここの】つ。10=十【とお】 (つ がない!)。十【じゅう】より上【うえ】はいくつだけ。,"Count objects with つ. Readings are ALL irregular: 1=ひとつ 2=ふたつ 3=みっつ 4=よっつ 5=いつつ 6=むっつ 7=ななつ 8=やっつ 9=ここのつ. 10=とお (no つ!). Above 10 use plain numbers. Universal counter for any object.",物を数える時に「つ」を使う。読みがすべて変わる: 1=ひとつ 2=ふたつ 3=みっつ 4=よっつ 5=いつつ 6=むっつ 7=ななつ 8=やっつ 9=ここのつ。10=とお（つ なし!）。10より上は数字のみ。何にでも使える万能助数詞。,38,
gram-37,cat-81,いくつの作【つく】り方【かた】,Making Numbers,数の作り方,いくつの前【まえ】に十【じゅう】か百【ひゃく】を入【い】れる。二【に】+十【じゅう】=20。三【さん】+百【ひゃく】=300。全部【ぜんぶ】一【ひと】つにする: 三【さん】百【びゃく】五【ご】十【じゅう】二【に】=352。百【ひゃく】の前【まえ】で音【おと】が変【か】わる事【こと】がある。,"Put a digit before 十 or 百. 二十 = 20. 三百 = 300. Chain them: 三百五十二 = 352. Pattern: [digit]百[digit]十[digit]. Sound changes before 百: 300=さんびゃく, 600=ろっぴゃく, 800=はっぴゃく. Tip: start by learning prices - you will hear numbers at every shop.",数字を十・百の前に置く。二十 = 20。三百 = 300。連結: 三百五十二 = 352。パターン: [数字]百[数字]十[数字]。百の前で音変化: 300=さんびゃく、600=ろっぴゃく、800=はっぴゃく。コツ: まず値段から覚える。買い物のたびに数字が聞こえる。,39,
gram-39,cat-81,いくつの読【よ】み方【かた】,Number Readings,数字の読み方,"いつも同【おな】じ読【よ】み方【かた】: いち(1) に(2) さん(3) ご(5) ろく(6) はち(8) じゅう(10) ひゃく(100)。三【みっ】つだけ二【ふた】つの読【よ】み方【かた】がある: し/よん(4) しち/なな(7) く/きゅう(9)。分【わ】からない時【とき】は よん なな きゅう を使【つか】う。この三【みっ】つの方【かた】がいつも使【つか】える。","8 numbers always sound the same: いち(1) に(2) さん(3) ご(5) ろく(6) はち(8) じゅう(10) ひゃく(100). Only 3 have two readings: し/よん(4) しち/なな(7) く/きゅう(9). Tip: when unsure, use よん, なな, きゅう - they always work and are more common in daily speech. し can be confused with 死(death), so よん is safer.",読みが常に同じ8つ: いち(1) に(2) さん(3) ご(5) ろく(6) はち(8) じゅう(10) ひゃく(100)。二通りの読みがある3つだけ: し/よん(4) しち/なな(7) く/きゅう(9)。迷ったらよん・なな・きゅうを使う。日常会話ではこちらが一般的。し は死と紛らわしいのでよんが無難。,40,
