id,dialog_group_id,line_number,speaker_minihongo,speaker_english,speaker_japanese,minihongo,english,japanese
dlg-36,dgrp-5,3,母【はは】,Mother,母,だめです。速【はや】く服【ふく】を着【き】てください。,No. Hurry and get dressed.,だめです。早く服を着なさい。
dlg-37,dgrp-5,4,子供【こども】,Child,子供,はい。でも今【いま】は空【そら】が明【あか】るくないです。雨【あめ】が来【き】ますか。,Okay. But the sky isn't bright right now. Will rain come?,はい。でも今日は空が暗いね。雨が降るかな。
dlg-38,dgrp-5,5,母【はは】,Mother,母,そうですね。外【そと】は少【すこ】し寒【さむ】いから、良【よ】い服【ふく】を着【き】てください。,"It does look that way. Outside is a bit cold, so please wear good clothes.",そうね。外は少し寒いから、暖かい服を着てね。
dlg-39,dgrp-5,6,子供【こども】,Child,子供,今【いま】は何【なに】を食【た】べますか。,What are we eating now?,今朝は何を食べるの？
dlg-40,dgrp-5,7,母【はは】,Mother,母,水【みず】と食【た】べ物【もの】があります。全部【ぜんぶ】食【た】べてください。,There's water and food. Please eat all of it.,お水とご飯があるよ。全部食べてね。
dlg-41,dgrp-5,8,子供【こども】,Child,子供,はい、母【はは】。今【いま】の日【ひ】も楽【たの】しいと思【おも】います！,"Yes, Mother. I think this day will be fun too!",はい、お母さん。今日も楽しい日になると思う！
dlg-42,dgrp-6,1,A,A,A,石【いし】は動【うご】かない。草【くさ】は動【うご】く。それだけで違【ちが】うと思【おも】う？,"A stone doesn't move. Grass moves. Is that enough to make them different, do you think?",石は動かない。草は動く。それだけで違うと思う？
dlg-43,dgrp-6,2,B,B,B,でも水【みず】も動【うご】く。火【ひ】も動【うご】く。動【うご】くだけじゃ生【い】きているとは言【い】えない。,But water moves too. Fire moves. Moving alone doesn't mean something is alive.,でも水も動く。火も動く。動くだけでは生きているとは言えない。
dlg-44,dgrp-6,3,A,A,A,じゃあ、食【た】べること？草【くさ】は土【つち】と水【みず】を飲【の】む。動物【どうぶつ】は草【くさ】を食【た】べる。,Then is it eating? Grass drinks soil and water. Animals eat grass.,じゃあ、食べること？植物は土と水を吸収する。動物は植物を食べる。
dlg-45,dgrp-6,4,B,B,B,火【ひ】も木【き】を「食【た】べる」。でも火【ひ】は死【し】なない。死【し】ぬことができる物【もの】だけが本当【ほんとう】に生【い】きている。,"Fire also ""eats"" wood. But fire doesn't die. Only things that can die are truly alive.",火も木を「食べる」。でも火は死なない。死ぬことができるものだけが本当に生きている。
dlg-46,dgrp-6,5,A,A,A,死【し】ねる物【もの】だけが生【い】きていると？　それは変【へん】な考【かんが】えだ。,Only what can die is alive? That's a strange idea.,死ねるものだけが生きていると？　それは不思議な考えだ。
dlg-47,dgrp-6,6,B,B,B,でも考【かんが】えてみて。生【い】きているから、終【お】わりがある。終【お】わりがあるから、今【いま】が大【おお】きい。,"But think about it. Because it's alive, it has an end. Because there's an end, now matters more.",でも考えてみて。生きているから、終わりがある。終わりがあるから、今が大切なんだ。
dlg-48,dgrp-6,7,A,A,A,それなら、終【お】わりのない生【い】き物【もの】は……生【い】きていないのか。,Then a living thing with no end... is it not alive?,それなら、終わりのない生き物は……生きていないのか。
dlg-49,dgrp-6,8,B,B,B,または時【とき】を感【かん】じない。時【とき】を感【かん】じることが、生【い】きることかもしれない。,Or it doesn't feel time. Maybe feeling time is what being alive is.,あるいは時間を感じない。時を感じることが、生きることなのかもしれない。
dlg-50,dgrp-7,1,A,A,A,夜【よる】の空【そら】の光【ひかり】は何【なん】だと思【おも】う？,What do you think the lights in the night sky are?,夜空の光は何だと思う？
dlg-51,dgrp-7,2,B,B,B,月【つき】と違【ちが】う。月【つき】は大【おお】きい。あの小【ちい】さい光【ひかり】は……とても外【そと】にある太陽【たいよう】だと思【おも】う。,They're different from the moon. The moon is large. Those small lights... I think they're suns very far outside.,月とは違う。月は大きい。あの小さな光は……遥か遠くにある太陽だと思う。
dlg-52,dgrp-7,3,A,A,A,外【そと】の太陽【たいよう】？　でも太陽【たいよう】は一【ひと】つだけじゃないの？,Suns outside? But isn't there only one sun?,遠くの太陽？　でも太陽は一つだけじゃないの？
dlg-53,dgrp-7,4,B,B,B,太陽【たいよう】はとても多【おお】いと思【おも】う。外【そと】にあるから小【ちい】さく見【み】える。本当【ほんとう】はとても大【おお】きい。,I think there are very many suns. They look small because they are far out there. In truth they're very large.,太陽はたくさんあると思う。遠くにあるから小さく見える。本当はとても大きい。
dlg-54,dgrp-7,5,A,A,A,じゃあ、あの光【ひかり】は今【いま】の光【ひかり】じゃないの？,Then is that light not the light of now?,じゃあ、あの光は今の光じゃないの？
dlg-55,dgrp-7,6,B,B,B,光【ひかり】は動【うご】くのに時【とき】がかかる。あの光【ひかり】は多【おお】い年【とし】の前【まえ】に出【で】た。,Light takes time to travel. That light left many years ago.,光が届くには時間がかかる。あの光は何年も前に放たれたものだ。
dlg-56,dgrp-7,7,A,A,A,あの光【ひかり】を出【だ】した太陽【たいよう】は、もう死【し】んでいるかもしれない。,The sun that gave off that light - it may already be dead.,あの光を発した太陽は、もう死んでいるかもしれない。
dlg-57,dgrp-7,8,B,B,B,でも私【わたし】たちの目【め】には今【いま】も明【あか】るく見【み】える。死【し】んでも光【ひかり】は来【く】る。,"But to our eyes it still appears bright. Even after death, the light comes.",でも私たちの目には今も明るく見える。死んでも光は届く。
dlg-58,dgrp-7,9,A,A,A,体【からだ】が終【お】わっても、出【だ】した光【ひかり】はまだ動【うご】いている……。,"Even when the body ends, the light it sent out is still moving...",体が滅びても、放った光はまだ進み続けている……。
dlg-59,dgrp-8,1,子供【こども】,Child,子供,父【ちち】さん、なぜ人【ひと】は戦【たたか】うの？戦【たたか】うと悲【かな】しいことが起【お】こるのに。,"Father, why do people fight? Fighting causes sad things to happen.",お父さん、なぜ人は戦うの？戦うと悲しいことが起こるのに。
dlg-60,dgrp-8,2,父【ちち】,Father,父,そうだね。怖【こわ】いことが起【お】こると、人【ひと】は守【まも】りたくなる。家【いえ】を、子供【こども】を、好【す】きな物【もの】を。,"That's right. When frightening things happen, people want to protect - their home, their children, the things they like.",そうだね。怖いことが起こると、人は守りたくなる。家を、子供を、大切なものを。
dlg-61,dgrp-8,3,子供【こども】,Child,子供,でも戦【たたか】って守【まも】れるの？戦【たたか】うと人【ひと】が死【し】ぬから、もっと悲【かな】しくなると思【おも】う。,"But can you protect by fighting? I think fighting makes people die, so it becomes even more sad.",でも戦って守れるの？戦うと人が死ぬから、もっと悲しくなると思う。
dlg-62,dgrp-8,4,父【ちち】,Father,父,本当【ほんとう】にそうだ。悲【かな】しいことを止【と】めようとして、もっと悲【かな】しいことを作【つく】ることがある。,"That's truly so. In trying to stop something sad, sometimes we create something sadder.",本当にそうだ。悲しいことを止めようとして、もっと悲しいことを生み出すことがある。
dlg-63,dgrp-8,5,子供【こども】,Child,子供,なぜ止【と】めないの？戦【たたか】わないと選【えら】ぶことができるじゃないの？,Why not stop it? Can't people choose not to fight?,なぜやめないの？戦わないという選択ができるんじゃないの？
dlg-64,dgrp-8,6,父【ちち】,Father,父,できる人【ひと】もいる。でも怒【おこ】っている時【とき】、または怖【こわ】い時【とき】、人【ひと】はよく考【かんが】えることができなくなる。,"Some can. But when angry, or when afraid, people can no longer think clearly.",できる人もいる。でも怒っている時、あるいは怖い時、人は冷静に考えられなくなる。
dlg-65,dgrp-8,7,子供【こども】,Child,子供,じゃあ戦【たたか】わないために、怖【こわ】くなる前【まえ】に話【はなし】をすることが必要【ひつよう】？,"So to avoid fighting, is it necessary to talk before fear comes?",じゃあ戦わないために、怖くなる前に話し合うことが必要なの？
dlg-66,dgrp-8,8,父【ちち】,Father,父,そう。言葉【ことば】は戦【たたか】いの前【まえ】にある。言葉【ことば】がなくなると、手【て】と体【からだ】が始【はじ】まる。,"Yes. Words come before fighting. When words are gone, hands and bodies begin.",そう。言葉は戦いの前にある。言葉がなくなると、拳と体が動き出す。
dlg-67,dgrp-9,1,A,A,A,動物【どうぶつ】も食【た】べて、飲【の】んで、子供【こども】を守【まも】る。人【ひと】と本当【ほんとう】に違【ちが】う？,"Animals eat, drink, protect their young too. Are humans truly different?",動物も食べて、飲んで、子供を守る。人間と本当に違うのか？
dlg-68,dgrp-9,2,B,B,B,人【ひと】は書【か】く。会【あ】ったことのない人【ひと】に言葉【ことば】を与【あた】える。死【し】んだ後【あと】も。,Humans write. They give words to people they've never met. Even after death.,人は書く。会ったことのない人に言葉を届ける。死んだ後も。
dlg-69,dgrp-9,3,A,A,A,それは大【おお】きい。動物【どうぶつ】は今【いま】に生【い】きる。人【ひと】は前【まえ】と後【あと】に生【い】きる。,That's significant. Animals live in the now. Humans live in the before and after.,それは大きな違いだ。動物は今を生きる。人は過去と未来を生きる。
dlg-70,dgrp-9,4,B,B,B,人【ひと】は機械【きかい】も作【つく】る。手【て】でできないことを機械【きかい】でできるようにする。,Humans also make machines - things that allow them to do what hands alone cannot.,人は機械も作る。手ではできないことを機械で可能にする。
dlg-71,dgrp-9,5,A,A,A,でも石【いし】を使【つか】う動物【どうぶつ】もいる。人【ひと】だけが物【もの】を使【つか】うのではない。,But there are animals that use stones too. Humans are not the only ones who use things.,でも石を使う動物もいる。人だけが道具を使うわけではない。
dlg-72,dgrp-9,6,B,B,B,物【もの】を使【つか】うことと、物【もの】について考【かんが】えることは違【ちが】う。人【ひと】は見【み】えない事【こと】を考【かんが】える。,Using a thing and thinking about a thing are different. Humans think about things they cannot see.,道具を使うことと、道具について考えることは違う。人は目に見えないことを考える。
dlg-73,dgrp-9,7,A,A,A,見【み】えない事【こと】？　どんな事【こと】？,Invisible things? What kind of things?,見えないこと？　どんなこと？
dlg-74,dgrp-9,8,B,B,B,「なぜ生【い】きるのか」。動物【どうぶつ】はこれを聞【き】かない。人【ひと】だけが聞【き】く。それが良【よ】いことか悪【わる】いことかは、まだ知【し】らない。,"""Why do we live?"" Animals don't ask this. Only humans ask it. Whether that's good or bad - we still don't know.",「なぜ生きるのか」。動物はこの問いを持たない。人だけが問う。それが良いことか悪いことかは、まだ分からない。
dlg-75,dgrp-10,1,A,A,A,この場所【ばしょ】に来【き】て、多【おお】い年【とし】が終【お】わった。あの木【き】は前【まえ】に小【ちい】さかった。,Many years have ended since we came to this place. That tree was small before.,この場所に来てから、何年も過ぎた。あの木は昔は小さかった。
dlg-76,dgrp-10,2,B,B,B,木【き】は変【か】わった。でも山【やま】は変【か】わっていない。時【とき】は物【もの】によって違【ちが】う。,The tree has changed. But the mountain hasn't changed. Time differs depending on the thing.,木は変わった。でも山は変わっていない。時の流れはものによって違う。
dlg-77,dgrp-10,3,A,A,A,私【わたし】たちも変【か】わった。体【からだ】が変【か】わった。でも……心【こころ】の中【なか】はどうだろう。,We have changed too. Our bodies have changed. But... what about inside our hearts?,私たちも変わった。体が変わった。でも……心の中はどうだろう。
dlg-78,dgrp-10,4,B,B,B,子供【こども】の時【とき】に感【かん】じた事【こと】は、まだ心【こころ】の中【なか】にある。変【か】わっていない。,What we felt as children is still inside our hearts. Unchanged.,子供の頃に感じたことは、まだ心の中にある。変わっていない。
dlg-79,dgrp-10,5,A,A,A,時【とき】は前【まえ】に動【うご】くだけ？　前【まえ】に行【い】くことはできない？,Does time only move forward? Can we not go back?,時間は前に進むだけ？　過去に戻ることはできない？
dlg-80,dgrp-10,6,B,B,B,体【からだ】は前【まえ】に行【い】けない。でも心【こころ】は行【い】ける。本【ほん】の中【なか】で、目【め】を閉【し】めた中【なか】で。,"The body cannot go back. But the heart can - inside books, inside closed eyes.",体は戻れない。でも心は戻れる。本の中で、目を閉じた時に。
dlg-81,dgrp-10,7,A,A,A,それなら時【とき】は二【ふた】つある。体【からだ】の時【とき】と、心【こころ】の時【とき】と。,"Then there are two times: the time of the body, and the time of the heart.",それなら時間は二つある。体の時間と、心の時間と。
dlg-82,dgrp-10,8,B,B,B,そして私【わたし】たちが死【し】んだ後【あと】も、あなたと私【わたし】が感【かん】じた事【こと】は他【ほか】の人【ひと】の心【こころ】の中【なか】で生【い】きるかもしれない。,"And even after we die, what you and I felt may go on living inside the hearts of other people.",そして私たちが死んだ後も、あなたと私が感じたことは他の人の心の中で生き続けるかもしれない。
dlg-83,dgrp-11,1,A,A,A,先生【せんせい】、本【ほん】を読【よ】んだら、その事【こと】を知【し】っていると言【い】えますか。,"Teacher, if I have read a book, can I say I know that thing?",先生、本を読んだら、そのことを知っていると言えますか。
dlg-84,dgrp-11,2,B,B,B,本【ほん】の言葉【ことば】は知【し】ることができます。でも、本当【ほんとう】に知【し】ることは違【ちが】います。,You can know the words of a book. But truly knowing is different.,本の言葉は知ることができます。でも、本当に知るということは違います。
dlg-85,dgrp-11,3,A,A,A,どう違【ちが】いますか。,How is it different?,どう違いますか。
dlg-86,dgrp-11,4,B,B,B,手【て】で作【つく】ったり、体【からだ】で感【かん】じたりしたとき、本当【ほんとう】に知【し】る事【こと】が始【はじ】まります。,"When you have made something with your hands, felt something in your body - that is when truly knowing begins.",手で作ったり、体で感じたりした時、本当に知ることが始まります。
dlg-87,dgrp-11,5,A,A,A,では、私【わたし】はまだ知【し】らないのですか。,Then I do not know yet?,では、私はまだ知らないのですか。
dlg-88,dgrp-11,6,B,B,B,知【し】りたいと思【おも】っているなら、もう始【はじ】まっています。それで良【よ】いと思【おも】います。,"If you want to know, it has already begun. I think that is enough.",知りたいと思っているなら、もう始まっています。それで十分だと思います。
dlg-89,dgrp-11,7,A,A,A,知【し】ることは終【お】わりますか。,Does knowing ever end?,知ることに終わりはありますか。
dlg-90,dgrp-11,8,B,B,B,良【よ】い先生【せんせい】も、まだ知【し】らない事【こと】がとても多【おお】いと感【かん】じています。,Even a good teacher feels there are still very many things they do not know.,良い先生でも、まだ知らないことがとても多いと感じています。
dlg-91,dgrp-12,1,A,A,A,この海【うみ】はとても大【おお】きいですね。外【そと】に何【なに】がありますか。,This sea is very large. What is on the other side?,この海はとても大きいですね。向こうに何がありますか。
dlg-92,dgrp-12,2,B,B,B,他【ほか】の国【くに】があります。でも目【め】では見【み】えません。,There are other countries. But you cannot see them with your eyes.,他の国があります。でも目では見えません。
dlg-93,dgrp-12,3,A,A,A,その国【くに】の人【ひと】たちも、この水【みず】を見【み】ていると思【おも】いますか。,Do you think the people of those countries are also looking at this water?,その国の人たちも、この海を見ていると思いますか。
dlg-94,dgrp-12,4,B,B,B,はい、全部【ぜんぶ】一【ひと】つの水【みず】です。海【うみ】は一【ひと】つだと思【おも】います。,"Yes, it is all one water. I think the sea is one.",はい、すべて一つの海です。海はつながっていると思います。
dlg-95,dgrp-12,5,A,A,A,水【みず】の中【なか】に何【なに】がいますか。,What lives inside the water?,海の中に何がいますか。
dlg-96,dgrp-12,6,B,B,B,動物【どうぶつ】が多【おお】くいます。私【わたし】たちが知【し】らない動物【どうぶつ】も、まだいると思【おも】います。,Many animals. I think there are still animals we do not know.,たくさんの生き物がいます。私たちがまだ知らない生き物もいると思います。
dlg-97,dgrp-12,7,A,A,A,海【うみ】は怖【こわ】いですか。,Is the sea frightening?,海は怖いですか。
dlg-98,dgrp-12,8,B,B,B,怖【こわ】いです。でも海【うみ】の音【おと】を聞【き】くと、心【こころ】が良【よ】くなります。,"It is frightening. But when I hear the sound of the sea, my heart becomes well.",怖いです。でも波の音を聞くと、心が穏やかになります。
dlg-99,dgrp-12,9,A,A,A,私【わたし】もそう感【かん】じます。大【おお】きい物【もの】の前【まえ】に立【た】つと、心【こころ】が小【ちい】さくなります。,"I feel that too. Standing before something vast, my heart becomes small.",私もそう感じます。大きなものの前に立つと、自分が小さく感じられます。
dlg-100,dgrp-13,1,A,A,A,この国【くに】はとても変【か】わりましたね。前【まえ】は違【ちが】いました。,"This country has changed a great deal. Before, it was different.",この国はとても変わりましたね。昔とは違います。
dlg-101,dgrp-13,2,B,B,B,はい。新【あたら】しい建物【たてもの】が多【おお】くなりました。前【まえ】からある家【いえ】は少【すく】なくなりました。,Yes. There are many more new buildings. The houses that were here before have grown few.,はい。新しい建物が増えました。昔からある家は少なくなりました。
dlg-102,dgrp-13,3,A,A,A,前【まえ】からある道【みち】も変【か】わりました。前【まえ】は木【き】が多【おお】かったです。,"The old roads have also changed. Before, there were many trees.",昔からある道も変わりました。以前は木が多かったです。
dlg-103,dgrp-13,4,B,B,B,新【あたら】しいものは良【よ】いですか、悪【わる】いですか。,"Are new things good, or bad?",新しいものは良いですか、悪いですか。
dlg-104,dgrp-13,5,A,A,A,新【あたら】しい機械【きかい】で、人【ひと】がする事【こと】が速【はや】くなりました。でも前【まえ】にしていた事【こと】を知【し】っている人【ひと】が少【すく】なくなっています。,"With new machines, the things people do have become faster. But people who know the earlier ways of doing things are growing fewer.",新しい機械のおかげで、物事が速くなりました。でも昔のやり方を知っている人が少なくなっています。
dlg-105,dgrp-13,6,B,B,B,言葉【ことば】も変【か】わります。前【まえ】の人【ひと】たちの言葉【ことば】は今【いま】もありますか。,Even words change. Do the words of the people before us still exist?,言葉も変わります。昔の人たちの言葉は今も残っていますか。
dlg-106,dgrp-13,7,A,A,A,本【ほん】の中【なか】にあります。でも使【つか】う人【ひと】は少【すこ】しだけです。,They exist inside books. But only a few people use them.,本の中にあります。でも使う人はごくわずかです。
dlg-107,dgrp-13,8,B,B,B,変【か】わらない事【こと】はありますか。,Is there anything that does not change?,変わらないものはありますか。
dlg-108,dgrp-13,9,A,A,A,山【やま】と海【うみ】はまだ変【か】わりません。太陽【たいよう】も毎【まい】日【にち】出【で】ます。,The mountains and sea have not changed. The sun still rises every day.,山と海はまだ変わりません。太陽も毎日昇ります。
dlg-109,dgrp-14,1,A,A,A,あの人【ひと】が作【つく】った音【おと】を聞【き】くと、悲【かな】しくなります。なぜですか。,"When I hear the sounds that person made, I become sad. Why is that?",あの人が作った音楽を聞くと、悲しくなります。なぜでしょうか。
dlg-110,dgrp-14,2,B,B,B,私【わたし】もそう感【かん】じます。その音【おと】は何【なに】かを感【かん】じさせます。,I feel the same. Those sounds cause something to be felt.,私もそう感じます。その音は何かを呼び起こします。
dlg-111,dgrp-14,3,A,A,A,言葉【ことば】は使【つか】っていません。でも心【こころ】に入【はい】ります。,No words are used. Yet it enters the heart.,言葉は使っていません。でも心に届きます。
dlg-112,dgrp-14,4,B,B,B,言葉【ことば】より前【まえ】に、体【からだ】が感【かん】じると思【おも】います。雨【あめ】の音【おと】や風【かぜ】の音【おと】も、心【こころ】を動【うご】かします。,"I think the body feels it before words do. The sound of rain, the sound of wind - these too move the heart.",言葉より先に、体が感じるのだと思います。雨の音や風の音も、心を動かします。
dlg-113,dgrp-14,5,A,A,A,では、人【ひと】が作【つく】る音【おと】と山【やま】や海【うみ】の音【おと】は違【ちが】いますか。,"Then, are sounds made by people different from the sounds of mountains and sea?",では、人が作る音と自然の音は違いますか。
dlg-114,dgrp-14,6,B,B,B,違【ちが】うと思【おも】います。人【ひと】が作【つく】る音【おと】の中【なか】には、その人【ひと】の心【こころ】があります。,"I think they are different. Inside the sounds a person makes, there is that person's heart.",違うと思います。人が作る音の中には、その人の心が込められています。
dlg-115,dgrp-14,7,A,A,A,悲【かな】しい音【おと】を聞【き】いて、なぜ楽【たの】しいと感【かん】じますか。変【へん】ですね。,"Hearing a sad sound, why do I feel something like joy? It is strange.",悲しい音楽を聞いて、なぜ心地よいと感じるのでしょう。不思議ですね。
dlg-116,dgrp-14,8,B,B,B,悲【かな】しさを感【かん】じていい、と思【おも】えるからかもしれません。一人【ひとり】じゃないと感【かん】じます。,Perhaps because it lets you feel that sadness is allowed. You feel you are not alone.,悲しさを感じてもいいのだ、と思えるからかもしれません。一人じゃないと感じられるのです。
dlg-117,dgrp-14,9,A,A,A,その音【おと】を作【つく】った人【ひと】も、その悲【かな】しさを知【し】っていたのですね。,The person who made those sounds also knew that sadness.,その音楽を作った人も、同じ悲しみを知っていたのですね。
