id,grammar_id,minihongo,english,japanese,english_litteral,sort_order,audio_file
gex-19,gram-15,座【すわ】ってもいい？ / 入【はい】ってはいけない。,May I sit? / Must not enter.,座ってもいい？ / 入ってはいけない。,,19,ge_19.mp3
gex-20,gram-16,書【か】ける / 見【み】られる / する → できる,can write / can see / do → can do,書ける / 見られる / する → できる,,20,ge_20.mp3
gex-21,gram-17,寒【さむ】い。寒【さむ】くない。寒【さむ】かった。寒【さむ】くて 悲【かな】しい。,Cold. Not cold. Was cold. Cold and sad.,寒い。寒くない。寒かった。寒くて悲しい。,,21,ge_21.mp3
gex-22,gram-18,必要【ひつよう】な 物【もの】 / 必要【ひつよう】じゃない / 必要【ひつよう】だった,necessary thing / not necessary / was necessary,必要な物 / 必要じゃない / 必要だった,,22,ge_22.mp3
gex-23,gram-19,暑【あつ】くなる。/ 必要【ひつよう】になる。,It becomes hot. / It becomes necessary.,暑くなる。/ 必要になる。,,23,ge_23.mp3
gex-24,gram-20,山【やま】で 動【うご】く 子供【こども】 / 私【わたし】が 買【か】った 物【もの】,child who moves on the mountain / thing I bought,山で動く子供 / 私が買った物,,24,ge_24.mp3
gex-25,gram-21,食【た】べるのが 好【す】きだ。/ 何【なに】しているの？,I like eating. / What are you doing?,食べるのが好きだ。/ 何しているの？,,25,ge_25.mp3
gex-26,gram-22,動【うご】くことは良【よ】い。,Moving is good (the idea of moving).,動くことは良い。,,26,ge_26.mp3
gex-40,gram-22,行【い】くことができる。,It is possible to go.,行くことができる。,,40,ge_40.mp3
gex-41,gram-22,必要【ひつよう】なことを言【い】う。,I will say something necessary (abstract).,必要なことを言う。,,41,ge_41.mp3
gex-27,gram-23,飲【の】むもの / 読【よ】むもの,something to drink / something to read,飲むもの / 読むもの,,27,ge_27.mp3
gex-42,gram-23,必要【ひつよう】なものを持【も】っている。,I have something necessary (physical).,必要なものを持っている。,,42,ge_42.mp3
gex-43,gram-30,食【た】べ方【かた】を教【おし】えてください。,Please teach me how to eat (this).,食べ方を教えてください。,,43,ge_43.mp3
gex-44,gram-30,この言【こと】葉【ば】の使【つか】い方【かた】が知【し】りたい。,I want to know how to use this word.,この言葉の使い方が知りたい。,,44,ge_44.mp3
gex-45,gram-30,聞【き】き方【かた】が必要【ひつよう】だ。,The way you ask is necessary.,聞き方が必要だ。,,45,ge_45.mp3
gex-28,gram-24,行【い】きたい。/ 新【あたら】しい 家【いえ】が 欲【ほ】しい。,I want to go. / I want a new house.,行きたい。/ 新しい家が欲しい。,,28,ge_28.mp3
gex-29,gram-25,雨【あめ】が 来【き】たら、行【い】かない。/ 時【とき】があるなら、来【き】てください。,"If rain comes, I won't go. / If you have time, please come.",雨が来たら、行かない。/ 時があるなら、来てください。,,29,ge_29.mp3
gex-30,gram-26,良【よ】いと 思【おも】う。/ 「行【い】く」と 言【い】った。/ 大【おお】きい山【やま】という 場所【ばしょ】,"I think it's good. / He said ""I'll go."" / A place called Big Mountain.",良いと思う。/ 「行く」と言った。/ 大きい山という場所,,30,ge_30.mp3
gex-31,gram-27,知【し】るために 読【よ】む。/ 子供【こども】のために。,I read in order to know. / For the children.,知るために読む。/ 子供のために。,,31,ge_31.mp3
gex-32,gram-28,これは 水【みず】か？ / 良【よ】い 日【にち】だね。/ 行【い】くよ。,"Is this water? / Nice day, right? / I'm going!",これは水か？ / 良い日だね。/ 行くよ。,,32,ge_32.mp3
gex-33,gram-29,何【なに】を 食【た】べる？→ 何【なに】も 食【た】べない。,What will you eat? → I eat nothing.,何を食べる？→ 何も食べない。,,33,ge_33.mp3
gex-34,gram-29,何【なん】でも 作【つく】れる。/ 誰【だれ】もいない。/ 誰【だれ】でもできる。,I can make anything. / Nobody is here. / Anyone can do it.,何でも作れる。/ 誰もいない。/ 誰でもできる。,,34,ge_34.mp3
gex-37,gram-1,私【わたし】は 人【ひと】だ。,I am a person.,私は人だ。,,37,ge_37.mp3
gex-38,gram-12,寒【さむ】いから、家【いえ】にいる。,"It's cold, so I stay home.",寒いから、家にいる。,,38,ge_38.mp3
gex-39,gram-15,書【か】く→書【か】いて / 飲【の】む→飲【の】んで / 待【ま】つ→待【ま】って / 食【た】べる→食【た】べて,く→いて / む→んで / つ→って / る→て,書く→書いて / 飲む→飲んで / 待つ→待って / 食べる→食べて,,39,ge_39.mp3
